company_name,sector,symbol
Vodafone Idea Ltd.,Telecommunication,IDEA
Voltas Ltd.,Consumer Durables,VOLTAS
Waaree Energies Ltd.,Capital Goods,WAAREEENER
Welspun Corp Ltd.,Capital Goods,WELCORP
Welspun Living Ltd.,Textiles,WELSPUNLIV
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL
Wipro Ltd.,Information Technology,WIPRO
Wockhardt Ltd.,Healthcare,WOCKPHARMA
Yes Bank Ltd.,Financial Services,YESBANK
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL
Zen Technologies Ltd.,Capital Goods,ZENTEC
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL
eClerx Services Ltd.,Services,ECLERX
